Symbols,Company_Names,Sectors,Industry,Short_Names
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management,HDAsMaCoLi
HDFCBANK,HDFC Bank Limited,Financial Services,Banking,HDBaLi
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance,HDLiInCoLi
HDIL,Housing Development and Infrastructure Limited,Real Estate,Construction,HoDeanInLi
HEADSUP,Heads UP Ventures Limited,Investment,Venture Capital,HeUPVeLi
HECPROJECT,HEC Infra Projects Limited,Construction,Infrastructure,HEInPrLi
HEG,HEG Limited,Manufacturing,Electrical Equipment,HELi
HEIDELBERG,HeidelbergCement India Limited,Manufacturing,Building Materials,HeInLi
HEMIPROP,Hemisphere Properties India Limited,Real Estate,Property Management,HePrInLi
HERANBA,Heranba Industries Limited,Agriculture,Agrochemicals,HeInLi
HERCULES,Hercules Hoists Limited,Manufacturing,Industrial Equipment,HeHoLi
HERITGFOOD,Heritage Foods Limited,Food & Beverage,Food Processing,HeFoLi
HEROMOTOCO,Hero MotoCorp Limited,Manufacturing,Automotive,HeMoLi
HESTERBIO,Hester Biosciences Limited,Healthcare,Biotechnology,HeBiLi
HEUBACHIND,Heubach Colorants India Limited,Chemicals,Paints & Coatings,HeCoInLi
HEXATRADEX,Hexa Tradex Limited,Manufacturing,Trading,HeTrLi
HFCL,HFCL Limited,Telecommunications,Telecom Equipment,HFLi
HGINFRA,H.G. Infra Engineering Limited,Construction,Infrastructure,H.InEnLi
HGS,Hinduja Global Solutions Limited,IT Services,Technology,HiGlSoLi
HIKAL,Hikal Limited,Chemicals,Pharmaceuticals,HiLi
HIL,HIL Limited,Manufacturing,Building Materials,HILi
HILTON,Hilton Metal Forging Limited,Manufacturing,Metal Forgings,HiMeFoLi
HIMATSEIDE,Himatsingka Seide Limited,Manufacturing,Textiles,HiSeLi
HINDALCO,Hindalco Industries Limited,Manufacturing,Metals,HiInLi
HINDCOMPOS,Hindustan Composites Limited,Manufacturing,Composites,HiCoLi
HINDCON,Hindcon Chemicals Limited,Chemicals,Chemicals,HiChLi
HINDCOPPER,Hindustan Copper Limited,Mining,Metals,HiCoLi
HINDMOTORS,Hindustan Motors Limited,Automotive,Manufacturing,HiMoLi
HINDNATGLS,Hindusthan National Glass & Industries Limited,Manufacturing,Glass,HiNaGl_InLi
HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy,Oil & Gas,HiOiExCoLi
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy,Oil & Gas,HiPeCoLi
HINDUNILVR,Hindustan Unilever Limited,Consumer Goods,FMCG,HiUnLi
HINDWAREAP,Hindware Home Innovation Limited,Manufacturing,Building Materials,HiHoInLi
HINDZINC,Hindustan Zinc Limited,Mining,Metals,HiZiLi
HIRECT,Hind Rectifiers Limited,Manufacturing,Electrical Equipment,HiReLi
HISARMETAL,Hisar Metal Industries Limited,Manufacturing,Metal,HiMeInLi
HITECH,Hi-Tech Pipes Limited,Manufacturing,Pipes & Tubes,HiPiLi
HITECHCORP,Hitech Corporation Limited,IT Services,Technology,HiCoLi
HITECHGEAR,The Hi-Tech Gears Limited,Manufacturing,Gears,ThHiGeLi
HLEGLAS,HLE Glascoat Limited,Manufacturing,Coatings,HLGlLi
HLVLTD,HLV LIMITED,Manufacturing,Electrical Equipment,HLLI
HMAAGRO,HMA Agro Industries Limited,Agriculture,Agrochemicals,HMAgInLi
HMT,HMT Limited,Manufacturing,Machinery,HMLi
HMVL,Hindustan Media Ventures Limited,Media,Media,HiMeVeLi
HNDFDS,Hindustan Foods Limited,Food & Beverage,Food Processing,HiFoLi
HOMEFIRST,Home First Finance Company India Limited,Financial Services,Housing Finance,HoFiFiCoInLi
HONASA,Honasa Consumer Limited,Consumer Goods,FMCG,HoCoLi
HONAUT,Honeywell Automation India Limited,Manufacturing,Automation,HoAuInLi
HONDAPOWER,Honda India Power Products Limited,Manufacturing,Automotive,HoInPoPrLi
HOVS,HOV Services Limited,IT Services,Outsourcing,HOSeLi
HPAL,HP Adhesives Limited,Manufacturing,Chemicals,HPAdLi
HPIL,Hindprakash Industries Limited,Manufacturing,Plastics,HiInLi
HPL,HPL Electric & Power Limited,Manufacturing,Electrical Equipment,HPEl_PoLi
HSCL,Himadri Speciality Chemical Limited,Chemicals,Specialty Chemicals,HiSpChLi
HTMEDIA,HT Media Limited,Media,Broadcasting & Cable,HTMeLi
HUBTOWN,Hubtown Limited,Real Estate,Real Estate Development,HuLi
HUDCO,Housing & Urban Development Corporation Limited,Finance,Housing,Ho_UrDeCoLi
HUHTAMAKI,Huhtamaki India Limited,Manufacturing,Packaging,HuInLi
HYBRIDFIN,Hybrid Financial Services Limited,Financial,Investment Banking,HyFiSeLi
IBREALEST,Indiabulls Real Estate Limited,Real Estate,Real Estate Development,InReEsLi
IBULHSGFIN,Indiabulls Housing Finance Limited,Financial,Housing Finance,InHoFiLi
ICDSLTD,ICDS Limited,Manufacturing,Electronics,ICLi
ICEMAKE,Ice Make Refrigeration Limited,Manufacturing,Refrigeration,IcMaReLi
ICICIBANK,ICICI Bank Limited,Financial,Banking,ICBaLi
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial,Insurance,ICLoGeInCoLi
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial,Life Insurance,ICPrLiInCoLi
ICIL,Indo Count Industries Limited,Manufacturing,Textiles,InCoInLi
ICRA,ICRA Limited,Financial,Credit Ratings,ICLi
IDBI,IDBI Bank Limited,Financial,Banking,IDBaLi
IDEA,Vodafone Idea Limited,Telecommunications,Telecom,VoIdLi
IDEAFORGE,Ideaforge Technology Limited,Technology,Drones,IdTeLi
IDFC,IDFC Limited,Financial,Banking,IDLi
IDFCFIRSTB,IDFC First Bank Limited,Financial,Banking,IDFiBaLi
IEL,Indiabulls Enterprises Limited,Financial,Diversified Financial Services,InEnLi
IEX,Indian Energy Exchange Limited,Utilities,Energy,InEnExLi
IFBAGRO,IFB Agro Industries Limited,Food,Food Processing,IFAgInLi
IFBIND,IFB Industries Limited,Manufacturing,Consumer Appliances,IFInLi
IFCI,IFCI Limited,Financial,Development Bank,IFLi
IFGLEXPOR,IFGL Refractories Limited,Manufacturing,Refractories,IFReLi
IGARASHI,Igarashi Motors India Limited,Manufacturing,Automotive Parts,IgMoInLi
IGL,Indraprastha Gas Limited,Utilities,Gas Distribution,InGaLi
IGPL,IG Petrochemicals Limited,Chemicals,Petrochemicals,IGPeLi
IIFL,IIFL Finance Limited,Financial,Non-Banking Financial Company,IIFiLi
IIFLSEC,IIFL Securities Limited,Financial,Securities Brokerage,IISeLi
IITL,Industrial Investment Trust Limited,Financial,Investment Trust,InInTrLi
IKIO,IKIO Lighting Limited,Manufacturing,Lighting,IKLiLi
IL&FSENGG,IL&FS Engineering and Construction Company Limited,Engineering,Infrastructure,ILEnanCoCoLi
IL&FSTRANS,IL&FS Transportation Networks Limited,Transportation,Logistics,ILTrNeLi
IMAGICAA,Imagicaaworld Entertainment Limited,Entertainment,Theme Parks,ImEnLi
IMFA,Indian Metals & Ferro Alloys Limited,Metals,Ferro Alloys,InMe_FeAlLi
IMPAL,India Motor Parts and Accessories Limited,Automotive,Motor Parts,InMoPaanAcLi
IMPEXFERRO,Impex Ferro Tech Limited,Metals,Ferro Alloys,ImFeTeLi
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,Manufacturing,Consumer Products,ININLI
INDBANK,Indbank Merchant Banking Services Limited,Financial,Merchant Banking,InMeBaSeLi
INDHOTEL,The Indian Hotels Company Limited,Hospitality,Hotels,ThInHoCoLi
INDIACEM,The India Cements Limited,Construction,Cement,ThInCeLi
INDIAGLYCO,India Glycols Limited,Chemicals,Specialty Chemicals,InGlLi
INDIAMART,Indiamart Intermesh Limited,E-commerce,B2B Marketplace,InInLi
INDIANB,Indian Bank,Financial,Banking,InBa
INDIANCARD,Indian Card Clothing Company Limited,Manufacturing,Textiles,InCaClCoLi
INDIANHUME,Indian Hume Pipe Company Limited,Manufacturing,Pipes,InHuPiCoLi
INDIASHLTR,India Shelter Finance Corporation Limited,Financial,Housing Finance,InShFiCoLi
INDIGO,InterGlobe Aviation Limited,Transportation,Airlines,InAvLi
INDIGOPNTS,Indigo Paints Limited,Manufacturing,Paints,InPaLi
INDNIPPON,India Nippon Electricals Limited,Manufacturing,Electrical Equipment,InNiElLi
INDOAMIN,Indo Amines Limited,Chemicals,Chemicals,InAmLi
INDOBORAX,Indo Borax & Chemicals Limited,Chemicals,Chemicals,InBo_ChLi
INDOCO,Indoco Remedies Limited,Pharmaceuticals,Pharmaceuticals,InReLi
INDORAMA,Indo Rama Synthetics (India) Limited,Textiles,Synthetic Fibers,InRaSy_ILi
INDOSTAR,IndoStar Capital Finance Limited,Financial,Capital Finance,InCaFiLi
INDOTECH,Indo Tech Transformers Limited,Manufacturing,Electrical Equipment,InTeTrLi
INDOTHAI,Indo Thai Securities Limited,Financial,Securities Brokerage,InThSeLi
INDOWIND,Indowind Energy Limited,Utilities,Renewable Energy,InEnLi
INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare,Healthcare Services,InMeCoLi
INDSWFTLAB,Ind-Swift Laboratories Limited,Pharmaceuticals,Pharmaceuticals,InLaLi
INDSWFTLTD,Ind-Swift Limited,Pharmaceuticals,Pharmaceuticals,InLi
INDTERRAIN,Indian Terrain Fashions Limited,Retail,Apparel,InTeFaLi
INDUSINDBK,IndusInd Bank Limited,Financial,Banking,InBaLi
INDUSTOWER,Indus Towers Limited,Telecommunications,Telecom Infrastructure,InToLi
INFIBEAM,Infibeam Avenues Limited,E-commerce,E-commerce,InAvLi
INFOBEAN,InfoBeans Technologies Limited,IT Services,Software Development,InTeLi
INFOMEDIA,Infomedia Press Limited,Media,Media & Publishing,InPrLi
INFY,Infosys Limited,IT Services,Information Technology,InLi
INGERRAND,Ingersoll Rand (India) Limited,Manufacturing,Industrial Equipment,InRa_ILi
INNOVACAP,Innova Captab Limited,Manufacturing,Manufacturing,InCaLi
INOXGREEN,Inox Green Energy Services Limited,Utilities,Renewable Energy,InGrEnSeLi
INOXINDIA,INOX India Limited,Manufacturing,Industrial Equipment,INInLi
INOXWIND,Inox Wind Limited,Manufacturing,Renewable Energy,InWiLi
INSECTICID,Insecticides (India) Limited,Agriculture,Agro Chemicals,In_ILi
INSPIRISYS,Inspirisys Solutions Limited,IT Services,IT Consulting,InSoLi
INTELLECT,Intellect Design Arena Limited,IT Services,Software Development,InDeArLi
INTENTECH,Intense Technologies Limited,IT Services,Software Development,InTeLi
INTLCONV,International Conveyors Limited,Manufacturing,Manufacturing,InCoLi
INVENTURE,Inventure Growth & Securities Limited,Financial,Investment,InGr_SeLi
IOB,Indian Overseas Bank,Financial,Banking,InOvBa
IOC,Indian Oil Corporation Limited,Energy,Oil & Gas,InOiCoLi
IOLCP,IOL Chemicals and Pharmaceuticals Limited,Chemicals,Chemicals,IOChanPhLi
IONEXCHANG,ION Exchange (India) Limited,Financial,Financial Services,IOEx_ILi
IPCALAB,IPCA Laboratories Limited,Pharmaceuticals,Pharmaceuticals,IPLaLi
IPL,India Pesticides Limited,Agriculture,Agro Chemicals,InPeLi
IRB,IRB Infrastructure Developers Limited,Infrastructure,Infrastructure Development,IRInDeLi
IRCON,Ircon International Limited,Infrastructure,Construction,IrInLi
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Travel,Tourism,InRaCaAnToCoLi
IREDA,Indian Renewable Energy Development Agency Limited,Energy,Renewable Energy,InReEnDeAgLi
IRFC,Indian Railway Finance Corporation Limited,Financial,Financial Services,InRaFiCoLi
IRIS,Iris Business Services Limited,IT Services,Business Services,IrBuSeLi
IRISDOREME,Iris Clothings Limited,Retail,Apparel,IrClLi
IRMENERGY,IRM Energy Limited,Energy,Renewable Energy,IREnLi
ISEC,ICICI Securities Limited,Financial,Securities Brokerage,ICSeLi
ISFT,Intrasoft Technologies Limited,IT Services,IT Consulting,InTeLi
ISGEC,Isgec Heavy Engineering Limited,Manufacturing,Heavy Engineering,IsHeEnLi
ISMTLTD,ISMT Limited,Manufacturing,Steel,ISLi
ITC,ITC Limited,Conglomerate,Diversified,ITLi
ITDC,India Tourism Development Corporation Limited,Services,Travel & Tourism,InToDeCoLi
ITDCEM,ITD Cementation India Limited,Industrials,Construction,ITCeInLi
ITI,ITI Limited,Telecommunications,Communications,ITLi
IVC,IL&FS Investment Managers Limited,Finance,Investment Management,ILInMaLi
IVP,IVP Limited,Consumer Goods,Food & Beverages,IVLi
IWEL,Inox Wind Energy Limited,Energy,Renewable Energy,InWiEnLi
IZMO,IZMO Limited,Technology,IT Services,IZLi
J&KBANK,The Jammu & Kashmir Bank Limited,Financials,Banking,ThJa_KaBaLi
JAGRAN,Jagran Prakashan Limited,Media,Publishing,JaPrLi
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Healthcare,Pharmaceuticals,JaPhLi
JAIBALAJI,Jai Balaji Industries Limited,Industrials,Steel & Iron,JaBaInLi
JAICORPLTD,Jai Corp Limited,Conglomerate,Diversified,JaCoLi
JAIPURKURT,Nandani Creation Limited,Consumer Goods,Textiles,NaCrLi
JAMNAAUTO,Jamna Auto Industries Limited,Industrials,Auto Parts,JaAuInLi
JASH,Jash Engineering Limited,Industrials,Engineering,JaEnLi
JAYAGROGN,Jayant Agro Organics Limited,Consumer Goods,Agriculture,JaAgOrLi
JAYBARMARU,Jay Bharat Maruti Limited,Consumer Goods,Auto Manufacturing,JaBhMaLi
JAYNECOIND,Jayaswal Neco Industries Limited,Industrials,Steel & Iron,JaNeInLi
JAYSREETEA,Jayshree Tea & Industries Limited,Consumer Goods,Beverages,JaTe_InLi
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Healthcare,Pharmaceuticals,JBCh_PhLi
JBMA,JBM Auto Limited,Industrials,Auto Parts,JBAuLi
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,Industrials,HVAC Systems,JoCo-HiAiCoInLi
JETAIRWAYS,Jet Airways (India) Limited,Services,Airlines,JeAi_ILi
JETFREIGHT,Jet Freight Logistics Limited,Services,Logistics,JeFrLoLi
JGCHEM,J.G.Chemicals Limited,Materials,Chemicals,J.Li
JHS,JHS Svendgaard Laboratories Limited,Healthcare,Healthcare,JHSvLaLi
JINDALPHOT,Jindal Photo Limited,Consumer Goods,Media & Entertainment,JiPhLi
JINDALPOLY,Jindal Poly Films Limited,Materials,Plastics,JiPoFiLi
JINDALSAW,Jindal Saw Limited,Industrials,Steel & Iron,JiSaLi
JINDALSTEL,Jindal Steel & Power Limited,Materials,Steel & Iron,JiSt_PoLi
JINDRILL,Jindal Drilling And Industries Limited,Industrials,Oil & Gas,JiDrAnInLi
JINDWORLD,Jindal Worldwide Limited,Conglomerate,Diversified,JiWoLi
JIOFIN,Jio Financial Services Limited,Financials,Financial Services,JiFiSeLi
JISLDVREQS,Jain Irrigation Systems Limited,Industrials,Agriculture,JaIrSyLi
JISLJALEQS,Jain Irrigation Systems Limited,Industrials,Agriculture,JaIrSyLi
JITFINFRA,JITF Infralogistics Limited,Industrials,Infrastructure,JIInLi
JKCEMENT,JK Cement Limited,Materials,Cement,JKCeLi
JKIL,J.Kumar Infraprojects Limited,Industrials,Construction,J.InLi
JKLAKSHMI,JK Lakshmi Cement Limited,Materials,Cement,JKLaCeLi
JKPAPER,JK Paper Limited,Materials,Paper,JKPaLi
JKTYRE,JK Tyre & Industries Limited,Consumer Goods,Auto Parts,JKTy_InLi
JLHL,Jupiter Life Line Hospitals Limited,Healthcare,Healthcare,JuLiLiHoLi
JMA,Jullundur Motor Agency (Delhi) Limited,Consumer Goods,Auto Parts,JuMoAg_DLi
JMFINANCIL,JM Financial Limited,Financials,Financial Services,JMFiLi
JOCIL,Jocil Limited,Materials,Chemicals,JoLi
JPASSOCIAT,Jaiprakash Associates Limited,Industrials,Construction,JaAsLi
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,Financials,Investment Management,JiPoInanFiCoLi
JPPOWER,Jaiprakash Power Ventures Limited,Energy,Power Generation,JaPoVeLi
JSFB,Jana Small Finance Bank Limited,Financials,Banking,JaSmFiBaLi
JSL,Jindal Stainless Limited,Materials,Steel & Iron,JiStLi
JSWENERGY,JSW Energy Limited,Energy,Renewable Energy,JSEnLi
JSWHL,JSW Holdings Limited,Conglomerate,Diversified,JSHoLi
JSWINFRA,JSW Infrastructure Limited,Industrials,Infrastructure,JSInLi
JSWSTEEL,JSW Steel Limited,Materials,Steel & Iron,JSStLi
JTEKTINDIA,Jtekt India Limited,Industrials,Auto Parts,JtInLi
JTLIND,JTL Industries Limited,Industrials,Manufacturing,JTInLi
JUBLFOOD,Jubilant Foodworks Limited,Consumer Goods,Food & Beverages,JuFoLi
JUBLINDS,Jubilant Industries Limited,Chemicals,Chemicals,JuInLi
JUBLINGREA,Jubilant Ingrevia Limited,Chemicals,Chemicals,JuInLi
JUBLPHARMA,Jubilant Pharmova Limited,Healthcare,Pharmaceuticals,JuPhLi
JUNIPER,Juniper Hotels Limited,Services,Hospitality,JuHoLi
JUSTDIAL,Just Dial Limited,Technology,IT Services,JuDiLi
JWL,Jupiter Wagons Limited,Industrials,Manufacturing,JuWaLi
JYOTHYLAB,Jyothy Labs Limited,Consumer Goods,Personal Care,JyLaLi
JYOTICNC,Jyoti CNC Automation Limited,Industrials,Manufacturing,JyCNAuLi
JYOTISTRUC,Jyoti Structures Limited,Industrials,Construction,JyStLi
KABRAEXTRU,Kabra Extrusion Technik Limited,Industrials,Manufacturing,KaExTeLi
KAJARIACER,Kajaria Ceramics Limited,Consumer Goods,Ceramics,KaCeLi
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,Materials,Cement,KaCeSu_InLi
KALAMANDIR,Sai Silks (Kalamandir) Limited,Consumer Goods,Retail,SaSi_KLi
KALYANI,Kalyani Commercials Limited,Consumer Goods,Diversified,KaCoLi
KALYANIFRG,Kalyani Forge Limited,Industrials,Manufacturing,KaFoLi
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Goods,Jewelry,KaJeInLi
KAMATHOTEL,Kamat Hotels (I) Limited,Services,Hospitality,KaHo_ILi
KAMDHENU,Kamdhenu Limited,Industrials,Manufacturing,KaLi
KAMOPAINTS,Kamdhenu Ventures Limited,Consumer Goods,Paints,KaVeLi
KANANIIND,Kanani Industries Limited,Industrials,Manufacturing,KaInLi
KANORICHEM,Kanoria Chemicals & Industries Limited,Chemicals,Chemicals,KaCh_InLi
KANPRPLA,Kanpur Plastipack Limited,Industrials,Plastics,KaPlLi
KANSAINER,Kansai Nerolac Paints Limited,Consumer Goods,Paints,KaNePaLi
KAPSTON,Kapston Services Limited,Services,Business Services,KaSeLi
KARMAENG,Karma Energy Limited,Energy,Renewable Energy,KaEnLi
KARURVYSYA,Karur Vysya Bank Limited,Financials,Banking,KaVyBaLi
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Industrials,Infrastructure,KaInDeCoLi
KAVVERITEL,Kavveri Telecom Products Limited,Telecommunications,Telecommunications,KaTePrLi
KAYA,Kaya Limited,Healthcare,Personal Care,KaLi
KAYNES,Kaynes Technology India Limited,Technology,IT Services,KaTeInLi
KBCGLOBAL,KBC Global Limited,Financials,Financial Services,KBGlLi
KCP,KCP Limited,Industrials,Manufacturing,KCLi
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Consumer Goods,Food & Beverages,KCSuanInCoLi
KDDL,KDDL Limited,Industrials,Manufacturing,KDLi
KEC,KEC International Limited,Industrials,Engineering,KEInLi
KECL,Kirloskar Electric Company Limited,Industrials,Electrical Equipment,KiElCoLi
KEEPLEARN,DSJ Keep Learning Limited,Services,Education,DSKeLeLi
KEI,KEI Industries Limited,Industrials,Electrical Equipment,KEInLi
KELLTONTEC,Kellton Tech Solutions Limited,Technology,IT Services,KeTeSoLi
KERNEX,Kernex Microsystems (India) Limited,Technology,IT Services,KeMi_ILi
KESORAMIND,Kesoram Industries Limited,Materials,Textiles,KeInLi
KEYFINSERV,Keynote Financial Services Limited,Financials,Financial Services,KeFiSeLi
KFINTECH,Kfin Technologies Limited,Technology,IT Services,KfTeLi
KHADIM,Khadim India Limited,Consumer Goods,Retail,KhInLi
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,Chemicals,Fertilizers,KhCh_FeLi
KHAITANLTD,Khaitan (India) Limited,Manufacturing,Chemicals,Kh_ILi
KHANDSE,Khandwala Securities Limited,Financial Services,Brokerage,KhSeLi
KICL,Kalyani Investment Company Limited,Investment,Financial Services,KaInCoLi
KILITCH,Kilitch Drugs (India) Limited,Pharmaceuticals,Healthcare,KiDr_ILi
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,Medical Services,KrInofMeScLi
KINGFA,Kingfa Science & Technology (India) Limited,Plastics,Materials,KiSc_Te_ILi
KIOCL,KIOCL Limited,Mining,Metals,KILi
KIRIINDUS,Kiri Industries Limited,Chemicals,Manufacturing,KiInLi
KIRLOSBROS,Kirloskar Brothers Limited,Engineering,Manufacturing,KiBrLi
KIRLOSENG,Kirloskar Oil Engines Limited,Engineering,Manufacturing,KiOiEnLi
KIRLOSIND,Kirloskar Industries Limited,Engineering,Manufacturing,KiInLi
KIRLPNU,Kirloskar Pneumatic Company Limited,Engineering,Manufacturing,KiPnCoLi
KITEX,Kitex Garments Limited,Textiles,Apparel,KiGaLi
KKCL,Kewal Kiran Clothing Limited,Textiles,Apparel,KeKiClLi
KMSUGAR,K.M.Sugar Mills Limited,Sugar Industry,Agriculture,K.MiLi
KNRCON,KNR Constructions Limited,Construction,Infrastructure,KNCoLi
KOHINOOR,Kohinoor Foods Limited,Food & Beverage,Consumer Goods,KoFoLi
KOKUYOCMLN,Kokuyo Camlin Limited,Stationery,Consumer Goods,KoCaLi
KOLTEPATIL,Kolte - Patil Developers Limited,Real Estate,Construction,Ko-PaDeLi
KOPRAN,Kopran Limited,Pharmaceuticals,Healthcare,KoLi
KOTAKBANK,Kotak Mahindra Bank Limited,Banking,Financial Services,KoMaBaLi
KOTARISUG,Kothari Sugars And Chemicals Limited,Sugar Industry,Agriculture,KoSuAnChLi
KOTHARIPET,Kothari Petrochemicals Limited,Chemicals,Petrochemicals,KoPeLi
KOTHARIPRO,Kothari Products Limited,Consumer Goods,Food & Beverage,KoPrLi
KPIGREEN,KPI Green Energy Limited,Renewable Energy,Energy,KPGrEnLi
KPIL,Kalpataru Projects International Limited,Infrastructure,Construction,KaPrInLi
KPITTECH,KPIT Technologies Limited,Technology,IT Services,KPTeLi
KPRMILL,K.P.R. Mill Limited,Textiles,Apparel,K.MiLi
KRBL,KRBL Limited,Food & Beverage,Agriculture,KRLi
KREBSBIO,Krebs Biochemicals and Industries Limited,Chemicals,Biotechnology,KrBianInLi
KRIDHANINF,Kridhan Infra Limited,Infrastructure,Construction,KrInLi
KRISHANA,Krishana Phoschem Limited,Chemicals,Fertilizers,KrPhLi
KRITI,Kriti Industries (India) Limited,Manufacturing,Chemicals,KrIn_ILi
KRITIKA,Kritika Wires Limited,Manufacturing,Wires,KrWiLi
KRITINUT,Kriti Nutrients Limited,Agriculture,Fertilizers,KrNuLi
KRSNAA,Krsnaa Diagnostics Limited,Healthcare,Medical Services,KrDiLi
KRYSTAL,Krystal Integrated Services Limited,Technology,IT Services,KrInSeLi
KSB,KSB Limited,Engineering,Manufacturing,KSLi
KSCL,Kaveri Seed Company Limited,Agriculture,Seeds,KaSeCoLi
KSHITIJPOL,Kshitij Polyline Limited,Manufacturing,Plastic Products,KsPoLi
KSL,Kalyani Steels Limited,Manufacturing,Steel,KaStLi
KSOLVES,Ksolves India Limited,Technology,IT Services,KsInLi
KTKBANK,The Karnataka Bank Limited,Banking,Financial Services,ThKaBaLi
KUANTUM,Kuantum Papers Limited,Paper,Manufacturing,KuPaLi
L&TFH,L&T Finance Holdings Limited,Financial Services,Investment,L_FiHoLi
LAGNAM,Lagnam Spintex Limited,Textiles,Apparel,LaSpLi
LAKPRE,Lakshmi Precision Screws Limited,Manufacturing,Engineering,LaPrScLi
LAL,Lorenzini Apparels Limited,Textiles,Apparel,LoApLi
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,Medical Services,DrLaPaLaLt
LAMBODHARA,Lambodhara Textiles Limited,Textiles,Apparel,LaTeLi
LANCORHOL,Lancor Holdings Limited,Real Estate,Construction,LaHoLi
LANDMARK,Landmark Cars Limited,Automotive,Consumer Goods,LaCaLi
LAOPALA,La Opala RG Limited,Glassware,Consumer Goods,LaOpRGLi
LASA,Lasa Supergenerics Limited,Pharmaceuticals,Healthcare,LaSuLi
LATENTVIEW,Latent View Analytics Limited,Technology,IT Services,LaViAnLi
LATTEYS,Latteys Industries Limited,Manufacturing,Engineering,LaInLi
LAURUSLABS,Laurus Labs Limited,Pharmaceuticals,Healthcare,LaLaLi
LAXMICOT,Laxmi Cotspin Limited,Textiles,Apparel,LaCoLi
LAXMIMACH,Lakshmi Machine Works Limited,Engineering,Machinery,LaMaWoLi
LCCINFOTEC,LCC Infotech Limited,Technology,IT Services,LCInLi
LEMONTREE,Lemon Tree Hotels Limited,Hospitality,Hotel & Tourism,LeTrHoLi
LEXUS,Lexus Granito (India) Limited,Manufacturing,Ceramics,LeGr_ILi
LFIC,Lakshmi Finance & Industrial Corporation Limited,Financial Services,Investment,LaFi_InCoLi
LGBBROSLTD,LG Balakrishnan & Bros Limited,Manufacturing,Engineering,LGBa_BrLi
LGBFORGE,LGB Forge Limited,Manufacturing,Engineering,LGFoLi
LGHL,Laxmi Goldorna House Limited,Manufacturing,Gold & Jewelry,LaGoHoLi
LIBAS,Libas Consumer Products Limited,Consumer Goods,Apparel,LiCoPrLi
LIBERTSHOE,Liberty Shoes Limited,Consumer Goods,Footwear,LiShLi
LICHSGFIN,LIC Housing Finance Limited,Financial Services,Investment,LIHoFiLi
LICI,Life Insurance Corporation Of India,Insurance,Financial Services,LiInCoOfIn
LIKHITHA,Likhitha Infrastructure Limited,Infrastructure,Construction,LiInLi
LINC,Linc Limited,Paper,Manufacturing,LiLi
LINCOLN,Lincoln Pharmaceuticals Limited,Pharmaceuticals,Healthcare,LiPhLi
LINDEINDIA,Linde India Limited,Gas,Industrial,LiInLi
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Engineering,Manufacturing,LLENWOLI
LLOYDSME,Lloyds Metals And Energy Limited,Manufacturing,Metals,LlMeAnEnLi
LODHA,Macrotech Developers Limited,Real Estate,Construction,MaDeLi
LOKESHMACH,Lokesh Machines Limited,Engineering,Machinery,LoMaLi
LORDSCHLO,Lords Chloro Alkali Limited,Chemicals,Manufacturing,LoChAlLi
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Healthcare,Medical Services,LoEyHoanInLi
LOVABLE,Lovable Lingerie Limited,Consumer Goods,Apparel,LoLiLi
LOYALTEX,Loyal Textile Mills Limited,Textiles,Apparel,LoTeMiLi
LPDC,Landmark Property Development Company Limited,Real Estate,Construction,LaPrDeCoLi
LT,Larsen & Toubro Limited,Engineering,Construction,La_ToLi
LTFOODS,LT Foods Limited,Food & Beverage,Agriculture,LTFoLi
LTIM,LTIMindtree Limited,Technology,IT Services,LTLi
LTTS,L&T Technology Services Limited,Technology,IT Services,L_TeSeLi
LUMAXIND,Lumax Industries Limited,Manufacturing,Automotive,LuInLi
LUMAXTECH,Lumax Auto Technologies Limited,Manufacturing,Automotive,LuAuTeLi
LUPIN,Lupin Limited,Pharmaceuticals,Healthcare,LuLi
LUXIND,Lux Industries Limited,Textiles,Apparel,LuInLi
LXCHEM,Laxmi Organic Industries Limited,Chemicals,Manufacturing,LaOrInLi
LYKALABS,Lyka Labs Limited,Pharmaceuticals,Healthcare,LyLaLi
LYPSAGEMS,Lypsa Gems & Jewellery Limited,Jewelry,Consumer Goods,LyGe_JeLi
